author,published_at,updated_at,like_count,text
@tedditriandana7113,2024-07-27T07:23:23Z,2024-07-27T07:23:23Z,0,"sebegitu sayangnya dengan 🇵🇸 awak merasa iba dan bersalah pada saudara Uyghur yg sampai sekarang entah bagaimana keadaan mereka, ditambah bung fahri ngomong dengan sebegitu PDnya tentang kenyataan pemerintahan otoriter itu (walaupun syukurnya diingetin pandji), dalam hal ini China, tidak menghasilkan pencari suaka, semoga saudara kita Uyghur dijaga dan diberi ketabahan serta kekuatan oleh Sang Khalik"
@carlzeiss9273,2024-07-26T12:41:32Z,2024-07-26T12:41:32Z,0,Penjilat tetaplah penjilat
@andreeblank,2024-07-26T09:14:11Z,2024-07-26T09:14:11Z,0,🔥🔥🔥
@ternakcrypto1,2024-07-25T18:00:26Z,2024-07-25T18:00:26Z,0,"beda bgt bang fahri di TV sama disini , jadi respect"
@gulmachaniago5781,2024-07-25T17:12:21Z,2024-07-25T17:12:21Z,0,"Keren,,"
@altakenwaysalaka3239,2024-07-25T17:11:20Z,2024-07-25T17:11:20Z,1,Buzzer nya banyak ni orang 😂
@haerudinheru2471,2024-07-25T16:15:35Z,2024-07-25T16:15:35Z,0,keren bang Pandji Pragiwaksono... tetap tegakan keadilan walaupun kadang orang pemberani dan jujur itu disukai oleh orang&quot; jahat
@reyhansaputra5455,2024-07-25T15:56:46Z,2024-07-25T15:56:46Z,0,orang munafik dan bermuka dua seperti ini di undang.. gak ada faedah nya lah
@traveltranportasiinfo6672,2024-07-25T10:16:56Z,2024-07-25T10:16:56Z,0,Hukum rakyat yang bisa menurunkan presiden
@IzukuAyla-nt5tw,2024-07-25T10:07:03Z,2024-07-25T10:07:03Z,0,Serasa lagi sekolah denger om Fahri😅
@ariedwisulthoni,2024-07-25T06:54:07Z,2024-07-25T06:54:07Z,0,"salah satu episode yang seru wkwk,, gokil bung fahri"
@nfirmansyah_,2024-07-25T06:20:00Z,2024-07-25T06:20:00Z,0,Cara berpikir beliau menarik juga.
@haripandudairi3083,2024-07-25T06:18:16Z,2024-07-25T06:18:16Z,0,"Bang Pandji, undang Deddy Cahyadi maen catur. Biar kena paham ke GM, yang lagi mikir diplototin. wkkwkwkwkkwkw"
@andik6,2024-07-25T00:41:43Z,2024-07-25T00:41:43Z,0,"Tiap kali video kelar ,, aku pikir endingnya GoT atau HoD... hhahhaha"
@shocklechannel9139,2024-07-24T19:21:41Z,2024-07-24T19:21:41Z,0,Kemarin sama anis pertanyaan nya gg setajam ini
@lukmanherdianto2484,2024-07-24T13:08:27Z,2024-07-24T13:09:24Z,1,"Jeleknya parpol di Indonesia, kalo ada kader yg pemikirannya, sepak terjangnya, popularitasnya jauh lebih besar dari partainya, maka dia akan dimusuhi oleh partainya. Parahnya ini terjadi di semua partai."
@natansinurat2703,2024-07-24T06:56:20Z,2024-07-24T06:56:20Z,0,Undang Ahokkkkkkk
@ady8047,2024-07-24T06:32:31Z,2024-07-24T06:32:31Z,0,"jaman jokowi prabowo di pilpres 2019 gw benci banget fahri hamzah sama fadli zon, tapi setelah nonton banyak podcast beliau, terutama fadli zon yang di YT helmy yahya gw sih rispek banget sama orang-orang kayak gini"
@andikurniawan2692,2024-07-24T04:26:13Z,2024-07-24T04:26:13Z,0,"ini emang acara tolol, caturnya bikin ga fokus ngobrol, ngobrolnya bikin ga fokus catur🤣"
@streetartsproject8692,2024-07-24T03:50:36Z,2024-07-24T03:50:36Z,0,"<a href=""https://www.youtube.com/watch?v=g0Doh6BYS6k&amp;t=4800"">1:20:00</a> : saya suka sama cara berpolitik anda pa,dari dulu sampe skrng,tapi saya senang anda tersudut dan saya senang jg anda jujur pada diri anda,bahwa anda butuh cara untuk mendapatkan kursi,,cheers pa"
@Clip_Foot,2024-07-24T02:00:01Z,2024-07-24T02:00:01Z,0,"baca semua buat para pendukung pak anies yang bilang SDM rendah, ini adalah sebuah cerita system politik, bukan prosedur"
@baharihakiki,2024-07-23T16:35:51Z,2024-07-23T16:35:51Z,0,"Udah tabiat politisi,selalu ada jawaban diposisi mana dia berdiri<br>Jangan pernah percaya apa yg diucapkan politisi"
@edgarwarman6895,2024-07-23T07:13:33Z,2024-07-23T07:13:33Z,0,Cuman mau bilang rakyat GK butuh DPR tapi setiap 5 tahun rakyat tidak di kasi pilihan dan dikasi pilihan oleh negara untuk memilih anggota DPR yg sebenarnya GK ada gunanya bagi rakyat indonesia
@salman_pasilia,2024-07-23T06:49:54Z,2024-07-23T06:49:54Z,0,"iya yak, agaknya partai² yang ada di Indonesia ini harus masif mengkampanyekan ideologi nya masing-masing, biar masyarakat yang terlanjur menilai buruk ini tercerahkan, pun kalau ngga berhasil membuat kesadaran di golongan itu, yaa golongan masyarakat muda gen z kaya saya ini melek dan punya kesadaran kalau parpol ini sistem yang benar, tidak tergiring opini orang yang sudah mencap buruk parpol, karenaaaaa orang yang mencap buruk inilah yang buanyaaakk sekali bersuara dan terdengar daripada parpol-parpol."
@MALPraktekkk,2024-07-23T06:14:09Z,2024-07-23T06:14:09Z,1,Fahri ini berkualitas omongannya daripada gibran
@arivitopma3233,2024-07-23T04:15:22Z,2024-07-23T04:15:22Z,0,&#39; bukan salah jokowi&#39; kata fahri...lah kampus/ rektir jg ga bkl larang2 kl ga ada tekanan dr istana. Aplg jokowi sndri prnh ngomong /protes  ke sultan saat para guru besar ngritik keras jokwi. Brrt kan emg salah jkwi knp kampus jd mandul ga bersuara. Tolol bgt lu rii..
@azrimiftahulakbar,2024-07-23T03:57:17Z,2024-07-23T03:57:17Z,0,"sepertinya bung fahri agak kesulitan mengimbangi pandji di part bagi-bagi kekuasaan, agak normatif aja sih jawabannya menurut gue wkwk"
@alifkurnia155,2024-07-23T03:21:42Z,2024-07-23T03:24:12Z,1,"bang saran dikit aja kalau memungkinkan dipakein sistem seperti jam yang di turnamen catur, jadi bang Pandji maupun lawan bicara tahu nih sudah saatnya siapa yang jalan untuk langkah selanjutnya jadi ngobrolnya bisa mengalir tanpa ter-distract sama ini saatnya langkah siapa, di sisi lain bang Pandji sebagai host juga bisa setir percakapan bisa seberapa lama biar percakapannya jadi lengkap apa yang ingin di kulik dari narasumber"
@bagaspradana3349,2024-07-23T01:49:48Z,2024-07-23T01:49:48Z,1,UNDANG BUNG ROCKYYY. YUK LIKE BIAR DIDENGER
@jatimubarakfurniture6296,2024-07-22T16:30:53Z,2024-07-22T16:30:53Z,0,semoga  akan ada banyak podcast pembelajaran politik<br>BUKAN <br>menilai langkah politik
@channel__top,2024-07-22T13:57:03Z,2024-07-22T13:57:03Z,0,Politisi kawakan.. pemikirannya sangat realistis
@arivitopma3233,2024-07-22T12:56:35Z,2024-07-22T12:56:35Z,0,"Sampe saat ini cuma PKS parte yg ttp dg idealismenya. Fahri aja udh ga idealis..ngikut pasar..stlh g jd dpr,aplgbskrg jd pndkng rejim. Ttp salut dg pks,tdk tergiur dg kaderusasinya ,ga lkutan latah gaet2 artis buat naikin kursi. Jd yg diblg fahri pks itu kolot dan fa bisa naikin kursi kalah dg parte lain...heiiii parte lain busa naik kursi krn pk cara instan gaet artis rii..ga ada hebatnya ky gitu,ga perlu bangga..jls2 parte ga ada prestasi. Pks ga bisa nambah kursi dpr yg byk ,wajar krn rakyat indo msh goblok2,lbh tertarik artis,duit dan bansos ketika milih"
@ricolngg,2024-07-22T11:37:06Z,2024-07-22T11:37:06Z,1,Dulu saya seorang yg tidak suka mendengar saat seorang fahri hamsah berbicara. Sekarang saya bisa melihat nilai seorang fahri
@bestpeoplecontent01,2024-07-22T10:37:11Z,2024-07-22T10:37:11Z,0,Coba ajak main bossman mas pandji
@mithafitria979,2024-07-22T10:26:16Z,2024-07-22T10:26:16Z,0,"Bang diawal kan sempet blg PKS punya value yg bagus dan kaderisasi yg oke, undang orang yg bisa menunjukkan itu dong. Gue penasaran dan pengen tau, apa yg lu tahu soal PKS itu sendiri. Thank you bang!"
@kavlingpropertysyariah,2024-07-22T09:39:24Z,2024-07-22T09:39:24Z,5,"Best episode Skatmat... lepas, lugas, cerdas gocekan pertanyaan sama jawabannya.. Kereeen emang Bang FH... idealisme dan pragmatisme ketemu di setiap jawabannya.."
