author,published_at,updated_at,like_count,text
@0404tita,2024-07-08T06:27:25Z,2024-07-08T06:27:25Z,1,"Pak anies, sy akan sll dukung bapak selama sikap bapak seperti ini. Proud."
@arianiwahyu4505,2024-07-08T02:45:05Z,2024-07-08T02:45:05Z,0,MashaAllah Abah
@restuastrea3425,2024-07-07T20:30:32Z,2024-07-07T20:30:32Z,1,"dari sini saya nyimak kalo ridwan kamil berpikir dan berbicara semua fokus dan menang,tapi pak anis sangat hebat bicara tpi berpikir permainan catur buruk jdi di simpulkan apa?"
@one_way_tech,2024-07-07T19:56:11Z,2024-07-07T19:56:11Z,1,Aneh juga pemilihan kemaren masak di kampung gua kalau nggk milih 02 nggk dapat beras 😅
@afforall1737,2024-07-07T19:35:04Z,2024-07-07T19:35:04Z,1,"Pak anis sama ridwan kamil mereka itu cerdas layak di pilih, cuma ridwan kamil sekarang masuk partai cari aman"
@thrashocalypse_07,2024-07-07T18:00:33Z,2024-07-07T18:00:33Z,1,"kalo pas rangkaian pilpres kemarin ada sesi berdialog + main catur ky gini, kira2 siapa yang paling planga plongo ya?????"
@lifequotes3341,2024-07-07T16:45:58Z,2024-07-07T16:45:58Z,1,"Sambil lihat komentar, ko positive semua ya ❤❤❤❤"
@user-og4mt1fy7v,2024-07-07T15:58:28Z,2024-07-07T15:58:28Z,1,Keren emg abah anies ...sehat terus bah
@Jasmera,2024-07-07T15:57:44Z,2024-07-07T15:57:44Z,1,"<a href=""https://www.youtube.com/watch?v=uO3Op7tKA1I&amp;t=2798"">46:38</a> &quot;kita ini kadang-kadang mengharap kalau orang membantu itu sampai bangkrut&quot;<br><br>Thank you for saying this pak, saya sangat setuju."
@Tom9727speed,2024-07-07T15:51:46Z,2024-07-07T15:51:46Z,2,"Sedihnya, mayoritas gen z atau kawan2 lain di umur produktif di indonesia ga akan suka nonton konten ini, yg penting mereka joget2 oke gas tanpa khawatir besok akan jadi apa mereka atau bahkan negara ini,, bukan gw julid ya, tapi ya gitulah mereka kebanyakan 😢 jangan heran data pengguna pinjol gagal bayar dan Judi online melonjak terus di Indonesia.. Suraammm"
@hinoname9195,2024-07-07T15:51:31Z,2024-07-07T15:51:31Z,3,menyimak obrolan pak anies ini emng harus total dari awal sampai benar2 habis episodenya krna obrolan beliau ini makin keujung makin berisi😂😂
@erikoreyko,2024-07-07T13:44:23Z,2024-07-07T13:44:23Z,0,Respect 🔥
@badassgenius3810,2024-07-07T11:05:43Z,2024-07-07T11:05:43Z,0,"di bagian pojok bawah video diberi gambaran caturnya secara 2D, agar orang bisa lihat langkah nya"
@mapratama9,2024-07-07T10:12:59Z,2024-07-07T10:12:59Z,0,"<a href=""https://www.youtube.com/watch?v=uO3Op7tKA1I&amp;t=864"">14:24</a> cara orang cerdas sindir keadaan"
@ahmadskrwdhmt6306,2024-07-07T09:41:10Z,2024-07-07T09:41:10Z,1,"Ketika partai sebagai bagian dari instrumen demokrasi dalam bernegara itu dibiayai negara maka akan lebih mandiri dari intervensi, kelass"
