author,published_at,updated_at,like_count,text
@MasykurLuthfi-qt6lm,2024-07-12T09:40:56Z,2024-07-12T09:40:56Z,7,"dari ini gw simpulkan, mereka mencari kesenangan, g peduli rakyat setelah pemilihan, kepentingan mereka cuma buat perut mereka sendiri"
@Ariefmufthi,2024-07-12T08:41:48Z,2024-07-12T08:41:48Z,0,Sound  Sudah  lebih bagus Dan jelas
@mmendax,2024-07-12T08:36:37Z,2024-07-12T08:36:37Z,0,"dibikin best of three ji, masa 20 menit doang"
@JakaLarizal,2024-07-12T08:20:31Z,2024-07-12T08:20:31Z,0,"Keren sih ini, pembicaraan singkat tapi semua fakta 😂"
@witosarlaw,2024-07-12T08:08:08Z,2024-07-12T08:08:08Z,0,mantap bang
@alimwirapratama8332,2024-07-12T08:03:31Z,2024-07-12T08:03:31Z,0,Undang pak Basuki alias ahok seru sih wkwk
@stkestn6788,2024-07-12T07:51:23Z,2024-07-12T07:51:23Z,0,bang pandji lupa perkenalin bintang tamunya wakaka
@muhammadichsannugroho4495,2024-07-12T07:41:06Z,2024-07-12T07:41:06Z,0,Rakyat indonesia dukung bpk angnies waesedan jd presiden yaman 2024.
@irawanwijaya2979,2024-07-12T07:38:22Z,2024-07-12T07:38:22Z,0,"kecepetan lu jalannya bang, makanya hbs duluan pertanyannya"
@ediindrasetiawan9796,2024-07-12T07:31:44Z,2024-07-12T07:31:44Z,0,Menunggu bang FH VS Pandji
@stepcuri9522,2024-07-12T07:13:46Z,2024-07-12T07:13:46Z,0,"Sahroni ngaku pakai amplop, berani gk kpu diskualifikasi..??😅"
@arifhidayat-lp4lw,2024-07-12T06:09:31Z,2024-07-12T06:09:31Z,1,"Sampah banget konsep podcastnya, pengennya kita dengerin tapi kedistrack sama main caturnya yang ga penting. Jdi males dengerin obrolannya😪😪😪😪😪😪😪😪😪😪😪😪😪😪😪😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐"
@whizzytech,2024-07-12T05:57:51Z,2024-07-12T05:57:51Z,0,Wkwkwkw yaa tercermin dalam permainan caturnya
@indahdewih,2024-07-12T05:22:19Z,2024-07-12T05:22:19Z,4,"gak heran kalau menteri-menteri ini cukup banyak yang inkompeten, ngaku sendiri jg itu dipilihnya masih pake asas pertemanan😅 di atasnya aja begini ya, jangan harap ke bawahnya bisa bersih xixi"
@intixxxp2100,2024-07-12T04:42:02Z,2024-07-12T04:42:02Z,0,20 menit ?! Pasti banyak yg di cut 😅
@mariaharefa94,2024-07-12T04:30:57Z,2024-07-12T04:30:57Z,3,dan saya tetap tidak percaya DPR
